number,doi,citekey
209,10.1021/acsnano.3c08676,mishraInducingCircularlyPolarized2024
210,10.1063/5.0160032,wangChiralityInducedSpin2023
211,10.1021/jp8107705,kattnigElectronParamagneticResonance2009
212,10.1103/PhysRevResearch.6.033005,dunlopThermodynamicallyOptimalProtocols2024
213,10.1103/phkv-wrsd,deoliveirajuniorFriendlyGuideExorcising2025
214,10.1088/1361-6528/adb635,wuPerspectiveMagneticQuantum2025
215,10.1002/adma.202300472,chiesaChiralityInducedSpinSelectivity2023
216,10.1039/D4TC03453H,mishraRecentAdvancementsChiral2025
217,10.1021/jacs.3c04212,xieQuantumSensingElectric2023
218,10.1103/RevModPhys.89.035002,degenQuantumSensing2017
219,10.1063/5.0278806,ilottElectronHoppingCryptochrome2025
220,10.1017/S0033583519000076,hiscockNavigatingNightFundamental2019
221,10.1021/acs.jpca.8b07556,nelsonEffectElectronNuclear2018
222,10.1098/rsif.2017.0657,nielsenAscorbicAcidMay2017
223,10.1021/jacs.4c16922,linAmplifyingMagneticField2025
224,10.1021/acscentsci.4c01632,pohEnhancingOpticallyDetected2025
225,10.1021/acs.jpca.4c05015,brownEnhancingPhotogeneratedRadical2024
226,10.1021/jacs.1c07706,harveyPhotogeneratedSpinCorrelatedRadical2021
227,10.1038/s41557-019-0332-8,ruggPhotodrivenQuantumTeleportation2019
228,10.1063/5.0213120,alvarezSimulatingSpinBiology2024
229,10.1039/C9FD00049F,fayHowQuantumRadical2020
230,10.1038/s41598-022-09901-7,smithObservationsUtilitarianCoherence2022
231,10.1098/rspa.2020.0778,jainAvianCompassCan2021
232,10.1103/PhysRevResearch.2.023206,kominisQuantumRelativeEntropy2020
233,10.1103/PhysRevLett.111.230503,caiChemicalCompassModel2013
234,10.1103/PhysRevLett.106.040503,gaugerSustainedQuantumCoherence2011
235,10.1103/PRXLife.3.013004,kominisApproachingQuantumLimit2025
236,10.1088/2058-9565/ad48b4,smithOptimalityRadicalpairQuantum2024
237,10.1038/s41598-017-06187-y,guoQuantifyingMagneticSensitivity2017
238,10.1103/PhysRevA.95.032129,vitalisQuantumlimitedBiochemicalMagnetometers2017
239,10.1016/j.cplett.2025.141905,tatenoEffectFrequencyChirp2025
240,10.1038/s41563-024-02083-9,horeSpinControlHybrid2025
241,10.1103/PRXQuantum.5.020303,chowdhuryQuantumControlRadicalPair2024
242,10.1103/PhysRevLett.104.220502,caiQuantumControlEntanglement2010
243,10.1063/5.0182172,luoSensitivityEnhancementRadicalpair2024
244,10.1088/1367-2630/18/6/063007,kattnigElectronSpinRelaxation2016
245,10.1021/acs.jpclett.2c02840,smithDrivenRadicalMotion2022
246,10.1021/jacsau.1c00332,babcockRadicalScavengingCould2021
